px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
-20.9854	-8.91065	4.83595	2.80858	-0.449849	-21.5568	-8.5005	-20.9959	-8.99994	-4.50202	1.74179	0.000274803
-21.1824	-8.84228	4.79262	2.7896	-0.446989	-21.0195	-8.85081	-21.2198	-8.90987	-4.45191	1.85972	4.18365e-006
-21.4155	-8.75332	4.79891	2.76249	-0.457609	-21.8628	-8.64129	-21.4412	-8.81393	-4.39865	1.97666	0.00025974
-21.61	-8.72773	4.73197	2.76504	-0.430214	-21.5029	-8.87191	-21.6597	-8.71217	-4.34224	2.0925	3.96952e-006
-21.8024	-8.58076	4.70129	2.70016	-0.503333	-21.9514	-7.41274	-21.8754	-8.60465	-4.2827	2.20712	0.000247429
-22.0055	-8.50576	4.67602	2.68595	-0.491462	-21.9793	-8.57089	-22.0881	-8.49143	-4.22007	2.32043	3.73896e-006
-22.2151	-8.39727	4.6888	2.66645	-0.476832	-22.1914	-7.70392	-22.2975	-8.37258	-4.15437	2.43232	0.000222982
-22.4446	-8.30217	4.70619	2.65141	-0.466358	-22.5838	-8.35296	-22.5035	-8.24817	-4.08564	2.5427	3.50431e-006
-22.6367	-8.18333	4.68679	2.61921	-0.483429	-22.3177	-8.57758	-22.7061	-8.11829	-4.01391	2.65145	0.00021094
-22.8691	-7.94927	4.79957	2.55317	-0.527497	-22.9861	-7.6724	-22.9049	-7.98301	-3.93923	2.75848	3.30773e-006
-23.06	-7.79823	4.78627	2.50474	-0.573466	-23.2693	-8.32031	-23.1	-7.84243	-3.86163	2.8637	0.000184036
-23.2857	-7.62464	4.84701	2.47088	-0.577202	-23.4777	-7.56583	-23.2911	-7.69663	-3.78118	2.967	3.00896e-006
-23.4854	-7.48619	4.86031	2.46251	-0.536044	-23.473	-7.02103	-23.4781	-7.54572	-3.69792	3.06828	0.000152451
-23.6521	-7.34115	4.83064	2.43566	-0.537203	-23.5408	-7.36069	-23.6609	-7.3898	-3.61191	3.16746	2.66202e-006
-23.8427	-7.18217	4.84433	2.41508	-0.523372	-24.0505	-6.56968	-23.8393	-7.22897	-3.52321	3.26445	0.000132173
-24.006	-7.08556	4.77053	2.40895	-0.504238	-23.9384	-7.26171	-24.0132	-7.06336	-3.43189	3.35916	2.38122e-006
-24.1734	-6.90323	4.77688	2.37028	-0.525718	-24.3577	-5.94086	-24.1825	-6.89307	-3.33801	3.45149	0.000118783
-24.3324	-6.6553	4.84013	2.31533	-0.554791	-24.2574	-6.4352	-24.347	-6.71823	-3.24166	3.54138	2.18267e-006
-24.4996	-6.47879	4.8375	2.28255	-0.571714	-24.788	-7.18367	-24.5066	-6.53896	-3.14289	3.62873	9.87987e-005
-24.6003	-6.3341	4.74635	2.2539	-0.575178	-24.3008	-6.43799	-24.6612	-6.35538	-3.0418	3.71347	1.97074e-006
